year,club_name,id,latitude,longitude,coordinates
1991,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1992,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1993,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1994,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1995,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1996,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1997,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1998,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1999,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2000,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2001,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2002,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2003,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2004,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2005,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2006,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2007,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2008,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2009,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2010,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2011,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2012,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2013,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2014,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2015,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2017,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2018,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2020,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
2021,VfB Stuttgart,79,48.78984,9.234628,POINT (9.234628000000001 48.78984)
1991,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1992,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1993,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1994,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1995,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1996,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1997,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1998,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1999,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2000,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2001,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2002,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2003,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2004,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2005,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2006,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2007,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2008,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2009,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2010,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2011,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2012,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2013,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2014,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2015,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2016,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2017,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2018,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2019,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2020,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
2021,Bor. Dortmund,16,51.498018,7.450915,POINT (7.450915 51.498018)
1991,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
1992,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
1993,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
1994,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
1995,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
1998,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
1999,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
2000,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
2003,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
2005,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
2006,E. Frankfurt,24,50.068387,8.645674,POINT (8.645674 50.068387)
